AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,LOOP_1,LOOP_2,FUNC_1,Attr
1060,2,262,648,147,0,1585,735,2,2,2.00,3,0,1.858ns,-,-,-,-,8,-,-,0,Cyber,array=REG,unroll_times=4,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;FUNC_1=func=inline;0
1060,2,262,648,147,0,1585,735,2,2,2.00,3,0,1.858ns,-,-,-,-,8,-,-,50,Cyber,array=REG,unroll_times=4,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;FUNC_1=func=inline;50
1060,2,262,648,147,0,1585,735,2,2,2.00,3,0,1.858ns,-,-,-,-,8,-,-,100,Cyber,array=REG,unroll_times=4,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;FUNC_1=func=inline;100
1265,5,336,708,210,0,2104,973,5,5,5.00,11,0,2.487ns,-,-,-,-,8,-,-,-100,Cyber,array=REG,unroll_times=4,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=3;FUNC_1=func=inline;-100
1458,4,544,702,202,0,2462,1181,4,4,4.00,10,0,3.107ns,-,-,-,-,7,-,-,-50,Cyber,array=REG,unroll_times=4,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=3;FUNC_1=func=inline;-50
1458,4,544,702,202,0,2462,1181,4,4,4.00,10,0,3.107ns,-,-,-,-,7,-,-,0,Cyber,array=REG,unroll_times=4,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=3;FUNC_1=func=inline;0
1713,4,752,750,202,0,2920,1439,4,4,4.00,9,0,3.037ns,-,-,-,-,7,-,-,50,Cyber,array=REG,unroll_times=4,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=3;FUNC_1=func=inline;50
1713,4,752,750,202,0,2920,1439,4,4,4.00,9,0,3.037ns,-,-,-,-,7,-,-,100,Cyber,array=REG,unroll_times=4,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=3;FUNC_1=func=inline;100
750,5,114,480,144,0,1262,556,5,5,5.00,12,0,1.0725ns,-,-,-,-,5,-,-,-100,Cyber,array=REG,unroll_times=4,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=4;FUNC_1=func=inline;-100
775,2,274,402,99,0,1343,628,2,2,2.00,0,0,1.475ns,-,-,-,-,2,-,-,-50,Cyber,array=REG,unroll_times=4,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=4;FUNC_1=func=inline;-50
758,1,374,384,0,0,1077,548,1,1,1.00,0,0,1.335ns,-,-,-,-,1,-,-,0,Cyber,array=REG,unroll_times=4,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=4;FUNC_1=func=inline;0
758,1,374,384,0,0,1077,548,1,1,1.00,0,0,1.335ns,-,-,-,-,1,-,-,50,Cyber,array=REG,unroll_times=4,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=4;FUNC_1=func=inline;50
758,1,374,384,0,0,1077,548,1,1,1.00,0,0,1.335ns,-,-,-,-,1,-,-,100,Cyber,array=REG,unroll_times=4,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=4;FUNC_1=func=inline;100
750,5,114,480,144,0,1262,556,5,5,5.00,12,0,1.0725ns,-,-,-,-,5,-,-,-100,Cyber,array=REG,unroll_times=4,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=all;FUNC_1=func=inline;-100
775,2,274,402,99,0,1343,628,2,2,2.00,0,0,1.475ns,-,-,-,-,2,-,-,-50,Cyber,array=REG,unroll_times=4,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=all;FUNC_1=func=inline;-50
758,1,374,384,0,0,1077,548,1,1,1.00,0,0,1.335ns,-,-,-,-,1,-,-,0,Cyber,array=REG,unroll_times=4,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=all;FUNC_1=func=inline;0
758,1,374,384,0,0,1077,548,1,1,1.00,0,0,1.335ns,-,-,-,-,1,-,-,50,Cyber,array=REG,unroll_times=4,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=all;FUNC_1=func=inline;50
758,1,374,384,0,0,1077,548,1,1,1.00,0,0,1.335ns,-,-,-,-,1,-,-,100,Cyber,array=REG,unroll_times=4,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=all;FUNC_1=func=inline;100
1109,3,262,660,181,0,1752,802,3,3,3.00,6,0,1.458ns,-,-,-,-,9,-,-,-100,Cyber,array=REG,unroll_times=4,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=folding=1;FUNC_1=func=inline;-100
1109,3,262,660,181,0,1752,802,3,3,3.00,6,0,1.458ns,-,-,-,-,9,-,-,-50,Cyber,array=REG,unroll_times=4,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=folding=1;FUNC_1=func=inline;-50
1109,3,262,660,181,0,1752,802,3,3,3.00,6,0,1.458ns,-,-,-,-,9,-,-,0,Cyber,array=REG,unroll_times=4,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=folding=1;FUNC_1=func=inline;0
1109,3,262,660,181,0,1752,802,3,3,3.00,6,0,1.458ns,-,-,-,-,9,-,-,50,Cyber,array=REG,unroll_times=4,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=folding=1;FUNC_1=func=inline;50
